run_id,game_date,player_name,team_abbreviation,matchup,prop_type,market_family,market_profile,market_profile_label,side,line,price,proj,diff,diff_abs,diff_ratio,edge_pct,edge_score,model_mae,model_key,min_l5,candidate_basic,micro_line_final,line_min_ok,consistency_joya,main_eligible,radar_only,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hr_text,quality,bucket
ludo_20260613_131701_d14022,2026-06-13,Karl-Anthony Towns,NYK,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,3.5,1.17,6.34135723114014,2.84135723114014,2.84135723114014,1.6017572755736738,81.1816351754325,1.60175727557367,1.7739,FGM,33.7000007629395,True,False,True,True,True,False,5,5,9,10,1.0,0.9,5/5 | 9/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,OG Anunoby,NYK,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,3.5,1.16,6.29928588867188,2.79928588867188,2.79928588867188,1.5780404130288517,79.9795968191964,1.57804041302885,1.7739,FGM,32.7,True,False,True,True,True,False,5,5,9,10,1.0,0.9,5/5 | 9/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,UNDER,8.5,1.1,6.02726650238037,-2.47273349761963,2.47273349761963,1.393953152725424,29.0909823249368,1.39395315272542,1.7739,FGM,33.5400005340576,True,False,True,True,True,False,5,5,9,10,1.0,0.9,5/5 | 9/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Karl-Anthony Towns,NYK,San Antonio Spurs @ New York Knicks,REB,MAIN,COUNTING_STABLE,Conteos estables,UNDER,13.5,1.35,10.2635059356689,-3.23649406433105,3.23649406433105,1.6940560399534412,23.974030106156,1.69405603995344,1.9105,REB,33.7000007629395,True,False,True,False,True,False,4,5,9,10,0.8,0.9,4/5 | 9/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Jalen Brunson,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,27.5,1.21,20.7104663848877,-6.7895336151123,6.7895336151123,2.422411022945733,24.6892131458629,2.42241102294573,2.8028,FGA,36.4599994659424,True,False,True,False,True,False,4,5,8,10,0.8,0.8,4/5 | 8/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Victor Wembanyama,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,21.5,1.23,17.23583984375,-4.26416015625,4.26416015625,1.5213929485692879,19.8333030523256,1.52139294856929,2.8028,FGA,37.4200000762939,True,False,True,False,True,False,4,5,8,10,0.8,0.8,4/5 | 8/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,3.5,1.2,6.02726650238037,2.52726650238037,2.52726650238037,1.4246950236092057,72.2076143537249,1.42469502360921,1.7739,FGM,33.5400005340576,True,False,True,False,True,False,4,5,8,10,0.8,0.8,4/5 | 8/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,9.5,1.34,13.0034627914429,3.50346279144287,3.50346279144287,1.2499867245050915,36.8785556993986,1.24998672450509,2.8028,FGA,33.5400005340576,True,False,True,False,True,False,4,5,8,10,0.8,0.8,4/5 | 8/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Victor Wembanyama,SAS,San Antonio Spurs @ New York Knicks,PA,MAIN,COMBO_TOTAL,Combinadas estadísticas,UNDER,33.5,1.56,27.5483436584473,-5.95165634155273,5.95165634155273,1.1727170580979154,17.7661383329932,1.17271705809792,5.0751,PA,37.4200000762939,True,False,True,False,True,False,4,5,8,10,0.8,0.8,4/5 | 8/10,EXCELENTE,MAIN
ludo_20260613_131701_d14022,2026-06-13,Karl-Anthony Towns,NYK,San Antonio Spurs @ New York Knicks,PTS,MAIN,SCORING_RESULT,Anotación / resultado,OVER,12.5,1.29,17.8544216156006,5.35442161560059,5.35442161560059,1.1633218796794471,42.8353729248047,1.16332187967945,4.6027,PTS,33.7000007629395,True,False,True,False,True,False,4,5,8,10,0.8,0.8,4/5 | 8/10,EXCELENTE,MAIN
