game_id,team_id,team_abbreviation,team_name,season,season_type,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,turnovers,pf,pts,plus_minus,updated_at
1022400018,1611661317,PHO,Mercury,2024,Regular Season,,200:00,37,78,0.474,16,33,0.485,8,13,0.615,6,33,39,23,7,7,7,15,98,10.0,2026-05-21T18:53:57.567413
1022400018,1611661319,LVA,Aces,2024,Regular Season,,200:00,33,78,0.423,11,31,0.355,11,15,0.733,7,32,39,22,5,4,9,18,88,-10.0,2026-05-21T18:53:57.567413
1022400019,1611661322,WAS,Mystics,2024,Regular Season,,200:00,27,64,0.422,8,25,0.32,6,11,0.545,8,20,28,21,13,3,18,16,68,-2.0,2026-05-21T18:53:57.567413
1022400019,1611661320,LAS,Sparks,2024,Regular Season,,200:00,26,55,0.473,8,21,0.381,10,15,0.667,5,28,33,21,8,5,24,19,70,2.0,2026-05-21T18:53:57.567413
1022400017,1611661321,DAL,Wings,2024,Regular Season,,200:00,30,70,0.429,2,16,0.125,16,20,0.8,11,24,35,17,6,6,14,20,78,-5.0,2026-05-21T18:53:57.567413
1022400017,1611661330,ATL,Dream,2024,Regular Season,,200:00,30,72,0.417,7,22,0.318,16,22,0.727,13,23,36,17,9,3,12,20,83,5.0,2026-05-21T18:53:57.567413
1022400020,1611661328,SEA,Storm,2024,Regular Season,,200:00,34,82,0.415,6,20,0.3,11,13,0.846,17,24,41,20,6,9,8,16,85,2.0,2026-05-21T18:53:57.567413
1022400020,1611661325,IND,Fever,2024,Regular Season,,200:00,31,72,0.431,6,22,0.273,15,18,0.833,13,27,40,18,5,8,11,17,83,-2.0,2026-05-21T18:53:57.567413
1022400022,1611661313,NYL,Liberty,2024,Regular Season,,200:00,30,69,0.435,8,22,0.364,13,20,0.65,8,27,35,22,8,5,14,17,81,-9.0,2026-05-21T18:53:57.567413
1022400022,1611661329,CHI,Sky,2024,Regular Season,,200:00,35,75,0.467,7,19,0.368,13,20,0.65,11,27,38,22,5,2,9,18,90,9.0,2026-05-21T18:53:57.567413
1022400023,1611661322,WAS,Mystics,2024,Regular Season,,200:00,27,70,0.386,13,36,0.361,13,16,0.813,9,27,36,21,7,1,17,21,80,-3.0,2026-05-21T18:53:57.567413
1022400023,1611661317,PHO,Mercury,2024,Regular Season,,200:00,26,60,0.433,10,33,0.303,21,24,0.875,4,30,34,20,9,4,16,19,83,3.0,2026-05-21T18:53:57.567413
1022400021,1611661324,MIN,Lynx,2024,Regular Season,,225:00,33,68,0.485,4,21,0.19,12,20,0.6,6,27,33,23,11,5,17,19,82,-1.0,2026-05-21T18:53:57.567413
1022400021,1611661323,CON,Sun,2024,Regular Season,,225:00,30,67,0.448,5,11,0.455,18,21,0.857,3,27,30,17,10,2,16,17,83,1.0,2026-05-21T18:53:57.567413
1022400024,1611661320,LAS,Sparks,2024,Regular Season,,200:00,25,59,0.424,5,24,0.208,18,21,0.857,3,32,35,18,5,3,18,19,73,-5.0,2026-05-21T18:53:57.567413
1022400024,1611661325,IND,Fever,2024,Regular Season,,200:00,29,69,0.42,7,25,0.28,13,17,0.765,5,27,32,22,9,2,10,17,78,5.0,2026-05-21T18:53:57.567413
