Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,THREESMADE,2.5,1.75,1.93
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+REBOUNDS,14.5,1.81,1.86
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+ASSISTS,14.5,1.91,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,16.5,1.74,1.93
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,ASSISTS+REBOUNDS,4.5,1.67,2.04
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,ASSISTS,2.5,2.25,1.55
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,8.5,1.74,1.94
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,REBOUNDS,6.5,1.73,1.96
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS+REBOUNDS,15.5,1.73,1.95
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS+ASSISTS,12.5,1.91,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,PRA,19.5,1.88,1.79
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,ASSISTS+REBOUNDS,9.5,1.68,2.02
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,ASSISTS,3.5,2.23,1.56
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,POINTS,12.5,1.86,1.81
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,REBOUNDS,7.5,1.84,1.83
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,POINTS+REBOUNDS,20.5,1.93,1.75
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,POINTS+ASSISTS,13.5,1.83,1.84
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,PRA,21.5,1.92,1.76
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,ASSISTS+REBOUNDS,8.5,1.84,1.83
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,ASSISTS,0.5,1.47,2.45
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,POINTS,18.5,1.81,1.86
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,REBOUNDS,4.5,1.93,1.75
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,THREESMADE,2.5,1.96,1.73
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,POINTS+REBOUNDS,23.5,1.9,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,POINTS+ASSISTS,25.5,1.84,1.83
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,PRA,30.5,1.92,1.76
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,ASSISTS+REBOUNDS,11.5,1.95,1.73
2026-05-21,Detroit Pistons - Cleveland Cavaliers,James Harden,Cleveland Cavaliers,ASSISTS,6.5,1.78,1.9
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,POINTS,5.5,1.93,1.75
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,REBOUNDS,1.5,2.11,1.62
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,THREESMADE,1.5,2.37,1.5
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,POINTS+REBOUNDS,6.5,1.82,1.85
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,POINTS+ASSISTS,6.5,1.96,1.73
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,PRA,7.5,1.81,1.87
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,ASSISTS+REBOUNDS,2.5,2.01,1.68
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Sam Merrill,Cleveland Cavaliers,ASSISTS,0.5,1.5,2.35
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,POINTS,27.5,1.89,1.79
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,REBOUNDS,4.5,1.86,1.81
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,THREESMADE,2.5,1.63,2.1
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,POINTS+REBOUNDS,31.5,1.8,1.87
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,POINTS+ASSISTS,30.5,1.81,1.86
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,PRA,35.5,1.87,1.81
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,ASSISTS+REBOUNDS,7.5,1.69,2.0
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Donovan Mitchell,Cleveland Cavaliers,ASSISTS,3.5,2.07,1.65
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,POINTS,14.5,1.79,1.88
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,REBOUNDS,7.5,1.73,1.96
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,THREESMADE,0.5,1.46,2.48
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,POINTS+REBOUNDS,22.5,1.8,1.87
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,POINTS+ASSISTS,18.5,1.94,1.74
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,PRA,26.5,1.92,1.76
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,ASSISTS+REBOUNDS,11.5,1.98,1.71
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,ASSISTS,3.5,2.11,1.62
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,POINTS,6.5,1.9,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,REBOUNDS,1.5,1.83,1.84
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,THREESMADE,0.5,1.9,1.78
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,POINTS+REBOUNDS,7.5,1.7,1.99
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,POINTS+ASSISTS,8.5,1.72,1.96
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,PRA,10.5,1.8,1.87
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,ASSISTS+REBOUNDS,4.5,2.11,1.63
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dennis Schroder,Cleveland Cavaliers,ASSISTS,2.5,1.97,1.72
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,POINTS,8.5,1.91,1.76
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,REBOUNDS,3.5,1.61,2.14
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,THREESMADE,1.5,1.58,2.2
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,POINTS+REBOUNDS,12.5,1.87,1.8
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,POINTS+ASSISTS,10.5,1.95,1.73
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,PRA,14.5,1.89,1.78
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,ASSISTS+REBOUNDS,5.5,1.71,1.98
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Max Strus,Cleveland Cavaliers,ASSISTS,1.5,1.68,2.03
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,POINTS,3.5,1.76,1.91
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,REBOUNDS,2.5,2.28,1.54
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,THREESMADE,0.5,1.89,1.79
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,POINTS+REBOUNDS,6.5,1.96,1.73
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,POINTS+ASSISTS,4.5,1.78,1.9
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,PRA,6.5,1.73,1.95
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,ASSISTS+REBOUNDS,2.5,1.69,2.01
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jaylon Tyson,Cleveland Cavaliers,ASSISTS,0.5,1.75,1.93
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,POINTS,3.5,1.88,1.79
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,REBOUNDS,2.5,1.55,2.26
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,THREESMADE,0.5,1.55,2.24
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,POINTS+REBOUNDS,6.5,1.7,2.0
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,POINTS+ASSISTS,4.5,1.83,1.84
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,PRA,7.5,1.76,1.92
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,ASSISTS+REBOUNDS,3.5,1.69,2.01
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Dean Wade,Cleveland Cavaliers,ASSISTS,0.5,1.7,1.99
