partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Sobre,1.78,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Debajo,1.89,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Sobre,1.95,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Debajo,1.63,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Sobre,1.45,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Debajo,2.29,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,12.5,Sobre,2.13,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,12.5,Debajo,1.52,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,7.5,Sobre,1.31,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,7.5,Debajo,2.76,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,13.5,Sobre,2.44,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,13.5,Debajo,1.40,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,14.5,Sobre,2.86,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,14.5,Debajo,1.29,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Rebotes,3.5,Sobre,1.99,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Rebotes,3.5,Debajo,1.70,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Rebotes,4.5,Sobre,2.74,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Rebotes,4.5,Debajo,1.32,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Triples,1.5,Sobre,1.48,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Triples,1.5,Debajo,2.40,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Robos,1.5,Sobre,1.76,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Robos,1.5,Debajo,1.92,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Tapones,0.5,Sobre,2.23,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Tapones,0.5,Debajo,1.56,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,14.5,Sobre,1.91,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,14.5,Debajo,1.77,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,15.5,Sobre,2.06,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,15.5,Debajo,1.56,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,12.5,Sobre,1.55,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,12.5,Debajo,2.09,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Asistencias,13.5,Sobre,1.87,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Asistencias,13.5,Debajo,1.80,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Asistencias,14.5,Sobre,2.02,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Asistencias,14.5,Debajo,1.59,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Asistencias,11.5,Sobre,1.51,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos+Asistencias,11.5,Debajo,2.16,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,16.5,Sobre,1.77,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,16.5,Debajo,1.90,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,17.5,Sobre,1.91,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,17.5,Debajo,1.67,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,14.5,Sobre,1.47,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,14.5,Debajo,2.25,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,18.5,Sobre,2.11,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,18.5,Debajo,1.54,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,13.5,Sobre,1.35,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,13.5,Debajo,2.59,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,19.5,Sobre,2.26,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,19.5,Debajo,1.46,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,20.5,Sobre,2.56,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PRA,20.5,Debajo,1.36,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Asistencias+Rebotes,5.5,Sobre,1.64,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Asistencias+Rebotes,5.5,Debajo,2.09,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Robos+Tapones,2.5,Sobre,2.25,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Robos+Tapones,2.5,Debajo,1.55,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Asistencias,2.5,Sobre,1.87,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Asistencias,2.5,Debajo,1.80,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Asistencias,3.5,Sobre,2.77,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Asistencias,3.5,Debajo,1.31,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PuntosPrimerCuarto,2.5,Sobre,2.10,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PuntosPrimerCuarto,2.5,Debajo,1.63,dom,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PuntosPrimerCuarto,0.5,Sobre,1.57,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,PuntosPrimerCuarto,0.5,Debajo,2.06,dom_alt,
