partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,26.5,Sobre,1.91,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,26.5,Debajo,1.76,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,27.5,Sobre,2.02,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,27.5,Debajo,1.59,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,24.5,Sobre,1.58,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,24.5,Debajo,2.02,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,28.5,Sobre,2.14,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,28.5,Debajo,1.52,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,23.5,Sobre,1.51,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,23.5,Debajo,2.16,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,29.5,Sobre,2.36,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,29.5,Debajo,1.42,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,22.5,Sobre,1.41,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,22.5,Debajo,2.41,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,30.5,Sobre,2.66,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,30.5,Debajo,1.34,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,21.5,Sobre,1.33,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,21.5,Debajo,2.70,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Rebotes,5.5,Sobre,1.89,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Rebotes,5.5,Debajo,1.78,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Rebotes,6.5,Sobre,2.42,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Rebotes,6.5,Debajo,1.40,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Triples,2.5,Sobre,2.32,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Triples,2.5,Debajo,1.52,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Robos,1.5,Sobre,2.02,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Robos,1.5,Debajo,1.68,dom,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-25,2026-05-18 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Tapones,0.5,Sobre,2.00,dom,
