partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,12.5,Sobre,1.80,dom,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,12.5,Debajo,1.88,dom,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,10.5,Sobre,1.45,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,10.5,Debajo,2.29,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,13.5,Sobre,1.96,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,13.5,Debajo,1.62,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,14.5,Sobre,2.20,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,14.5,Debajo,1.49,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,9.5,Sobre,1.31,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,9.5,Debajo,2.78,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,15.5,Sobre,2.51,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Puntos,15.5,Debajo,1.38,dom_alt,
Cleveland Cavaliers - New York Knicks,Winner Of Ec Sf2 Winner Of Ec Sf1,2026-05-25,2026-05-25 21:00,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Rebotes,7.5,Sobre,1.67,dom,
