partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Sobre,1.78,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Debajo,1.89,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Sobre,1.95,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Debajo,1.63,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Sobre,1.45,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Debajo,2.29,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,12.5,Sobre,2.13,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,12.5,Debajo,1.52,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,7.5,Sobre,1.31,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,7.5,Debajo,2.76,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,13.5,Sobre,2.44,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-30,2026-05-30 21:00,,,Oklahoma City Thunder,Alex Caruso,Puntos,13.5,Debajo,1.40,dom_alt,
