partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,2.5,Sobre,1.67,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,2.5,Debajo,2.04,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,0.5,Sobre,1.32,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,0.5,Debajo,2.74,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,3.5,Sobre,2.06,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,3.5,Debajo,1.56,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,4.5,Sobre,2.27,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos,4.5,Debajo,1.46,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Rebotes,0.5,Sobre,1.46,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Rebotes,0.5,Debajo,2.48,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Rebotes,1.5,Sobre,2.36,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Rebotes,1.5,Debajo,1.43,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Triples,0.5,Sobre,2.05,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Triples,0.5,Debajo,1.66,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos+Rebotes,4.5,Sobre,2.00,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos+Rebotes,4.5,Debajo,1.69,dom,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos+Rebotes,3.5,Sobre,1.64,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos+Rebotes,3.5,Debajo,1.94,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos+Rebotes,5.5,Sobre,2.17,dom_alt,
New York Knicks - San Antonio Spurs,Winner Of Ec Winner Of Wc,2026-06-10,2026-06-10 21:30,San Antonio Spurs,New York Knicks,New York Knicks,Jose Alvarado,Puntos+Rebotes,5.5,Debajo,1.51,dom_alt,
