partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,2.5,Sobre,1.80,dom,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,2.5,Debajo,1.87,dom,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,3.5,Sobre,2.41,dom_alt,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,3.5,Debajo,1.41,dom_alt,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,0.5,Sobre,1.47,dom_alt,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,0.5,Debajo,2.25,dom_alt,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,4.5,Sobre,2.66,dom_alt,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Puntos,4.5,Debajo,1.33,dom_alt,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Rebotes,0.5,Sobre,1.78,dom,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Rebotes,0.5,Debajo,1.89,dom,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Triples,0.5,Sobre,1.99,dom,
New York Knicks - Cleveland Cavaliers,Winner Of Ec Sf1 Winner Of Ec Sf2,2026-05-19,2026-05-19 21:00,Cleveland Cavaliers,New York Knicks,New York Knicks,Jose Alvarado,Triples,0.5,Debajo,1.71,dom,
