partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,26.5,Sobre,1.85,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos,26.5,Debajo,1.82,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Rebotes,5.5,Sobre,2.12,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Rebotes,5.5,Debajo,1.62,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Triples,2.5,Sobre,2.29,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Triples,2.5,Debajo,1.53,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Robos,1.5,Sobre,1.94,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Robos,1.5,Debajo,1.74,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Tapones,0.5,Sobre,1.79,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Tapones,0.5,Debajo,1.89,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Pérdidas,4.5,Sobre,1.89,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Pérdidas,4.5,Debajo,1.78,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos+Rebotes,31.5,Sobre,1.81,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos+Rebotes,31.5,Debajo,1.86,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos+Asistencias,35.5,Sobre,1.80,dom_alt,
Detroit Pistons - Cleveland Cavaliers,Winner Of E1 E8 Winner Of E4 E5,2026-05-21,2026-05-14 00:00,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cade Cunningham,Puntos+Asistencias,35.5,Debajo,1.87,dom_alt,
