partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Sobre,1.83,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Debajo,1.84,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,9.5,Sobre,2.02,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,9.5,Debajo,1.59,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,6.5,Sobre,1.45,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,6.5,Debajo,2.30,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Sobre,2.25,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Debajo,1.47,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,5.5,Sobre,1.31,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,5.5,Debajo,2.76,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Sobre,2.66,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Debajo,1.33,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Rebotes,3.5,Sobre,2.24,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Rebotes,3.5,Debajo,1.55,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Rebotes,2.5,Sobre,1.57,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Rebotes,2.5,Debajo,2.05,dom_alt,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Triples,1.5,Sobre,1.96,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Triples,1.5,Debajo,1.73,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Robos,1.5,Sobre,2.35,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Robos,1.5,Debajo,1.51,dom,
Winner Of Wc Sf1 Winner Of Wc Sf2,Winner Of Wc Sf1 Winner Of Wc Sf2,2026-05-26,2026-05-26 21:30,,,Oklahoma City Thunder,Alex Caruso,Puntos+Rebotes,11.5,Sobre,1.77,dom,
