partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,16.5,Sobre,1.91,dom,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,16.5,Debajo,1.76,dom,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,17.5,Sobre,2.05,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,17.5,Debajo,1.57,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,14.5,Sobre,1.56,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,14.5,Debajo,2.07,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,13.5,Sobre,1.42,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,13.5,Debajo,2.37,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,18.5,Sobre,2.21,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,18.5,Debajo,1.49,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,19.5,Sobre,2.51,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,19.5,Debajo,1.38,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,12.5,Sobre,1.31,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,12.5,Debajo,2.75,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,20.5,Sobre,2.88,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Puntos,20.5,Debajo,1.29,dom_alt,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Rebotes,4.5,Sobre,1.64,dom,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Rebotes,4.5,Debajo,2.08,dom,
Winner Of Wc New York Knicks,Winner Of Wc New York Knicks,2026-06-13,2026-06-13 21:30,New York Knicks,San Antonio Spurs,San Antonio Spurs,Stephon Castle,Rebotes,5.5,Sobre,2.05,dom_alt,
