partido,fecha,jugador,mercado,linea,handicap,cuota
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),25+,0.0,1.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),26+,0.0,1.62
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),27+,0.0,1.78
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),28+,0.0,1.98
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),29+,0.0,2.2
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),30+,0.0,2.45
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),31+,0.0,2.77
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),32+,0.0,3.15
Cleveland Cavaliers Detroit Pistons,2026-05-15,Donovan Mitchell,Puntos (hitos),33+,0.0,3.6
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),25+,0.0,1.55
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),26+,0.0,1.7
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),27+,0.0,1.87
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),28+,0.0,2.1
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),29+,0.0,2.35
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),30+,0.0,2.67
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),31+,0.0,3.05
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),32+,0.0,3.55
Cleveland Cavaliers Detroit Pistons,2026-05-15,Cade Cunningham,Puntos (hitos),33+,0.0,4.05
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),17+,0.0,1.42
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),18+,0.0,1.57
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),19+,0.0,1.75
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),20+,0.0,1.93
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),21+,0.0,2.18
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),22+,0.0,2.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),23+,0.0,2.87
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),24+,0.0,3.35
Cleveland Cavaliers Detroit Pistons,2026-05-15,James Harden,Puntos (hitos),25+,0.0,3.95
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),17+,0.0,1.53
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),19+,0.0,1.91
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),21+,0.0,2.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),23+,0.0,3.4
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),25+,0.0,4.75
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),27+,0.0,6.8
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),29+,0.0,9.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),31+,0.0,12.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Tobias Harris,Puntos (hitos),33+,0.0,15.0
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),13+,0.0,1.39
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),14+,0.0,1.55
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),15+,0.0,1.75
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),16+,0.0,1.98
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),17+,0.0,2.3
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),18+,0.0,2.7
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),19+,0.0,3.2
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),20+,0.0,3.85
Cleveland Cavaliers Detroit Pistons,2026-05-15,Evan Mobley,Puntos (hitos),21+,0.0,4.6
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),11+,0.0,1.47
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),13+,0.0,1.93
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),15+,0.0,2.75
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),17+,0.0,4.1
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),19+,0.0,6.2
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),21+,0.0,9.25
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),23+,0.0,13.0
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),25+,0.0,16.0
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jarrett Allen,Puntos (hitos),27+,0.0,18.0
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),10+,0.0,1.42
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),12+,0.0,1.88
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),14+,0.0,2.72
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),16+,0.0,4.2
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),18+,0.0,6.6
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),20+,0.0,10.0
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),22+,0.0,13.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Jalen Duren,Puntos (hitos),24+,0.0,17.0
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),9+,0.0,1.44
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),11+,0.0,1.83
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),13+,0.0,2.52
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),15+,0.0,3.55
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),17+,0.0,5.2
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),19+,0.0,7.6
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),21+,0.0,10.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),23+,0.0,13.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Duncan Robinson,Puntos (hitos),25+,0.0,16.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),9+,0.0,1.57
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),10+,0.0,1.83
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),11+,0.0,2.15
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),12+,0.0,2.6
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),13+,0.0,3.2
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),14+,0.0,3.95
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),15+,0.0,4.9
Cleveland Cavaliers Detroit Pistons,2026-05-15,Daniss Jenkins,Puntos (hitos),16+,0.0,6.1
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),8+,0.0,1.45
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),9+,0.0,1.8
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),10+,0.0,2.05
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),11+,0.0,2.65
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),12+,0.0,3.15
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),13+,0.0,4.15
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),14+,0.0,5.1
Cleveland Cavaliers Detroit Pistons,2026-05-15,Ausar Thompson,Puntos (hitos),15+,0.0,6.6
Cleveland Cavaliers Detroit Pistons,2026-05-15,Max Strus,Puntos (hitos),8+,0.0,1.5
Cleveland Cavaliers Detroit Pistons,2026-05-15,Max Strus,Puntos (hitos),9+,0.0,1.75
Cleveland Cavaliers Detroit Pistons,2026-05-15,Max Strus,Puntos (hitos),10+,0.0,2.05
Cleveland Cavaliers Detroit Pistons,2026-05-15,Max Strus,Puntos (hitos),11+,0.0,2.37
Cleveland Cavaliers Detroit Pistons,2026-05-15,Max Strus,Puntos (hitos),12+,0.0,2.9
Cleveland Cavaliers Detroit Pistons,2026-05-15,Max Strus,Puntos (hitos),13+,0.0,3.55
