partido,fecha,jugador,mercado,linea,handicap,cuota
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),25+,0.0,1.47
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),26+,0.0,1.57
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),27+,0.0,1.72
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),28+,0.0,1.9
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),29+,0.0,2.12
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),30+,0.0,2.37
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),31+,0.0,2.67
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),32+,0.0,3.0
Cleveland Cavaliers New York Knicks,2026-05-23,Donovan Mitchell,Puntos (hitos),33+,0.0,3.4
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),25+,0.0,1.47
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),26+,0.0,1.57
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),27+,0.0,1.72
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),28+,0.0,1.9
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),29+,0.0,2.12
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),30+,0.0,2.37
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),31+,0.0,2.67
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),32+,0.0,3.05
Cleveland Cavaliers New York Knicks,2026-05-23,Jalen Brunson,Puntos (hitos),33+,0.0,3.45
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),16+,0.0,1.44
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),17+,0.0,1.57
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),18+,0.0,1.75
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),19+,0.0,1.93
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),20+,0.0,2.2
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),21+,0.0,2.5
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),22+,0.0,2.9
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),23+,0.0,3.35
Cleveland Cavaliers New York Knicks,2026-05-23,James Harden,Puntos (hitos),24+,0.0,3.9
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),15+,0.0,1.5
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),16+,0.0,1.65
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),17+,0.0,1.85
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),18+,0.0,2.12
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),19+,0.0,2.42
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),20+,0.0,2.82
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),21+,0.0,3.35
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),22+,0.0,3.95
Cleveland Cavaliers New York Knicks,2026-05-23,Karl-Anthony Towns,Puntos (hitos),23+,0.0,4.7
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),13+,0.0,1.37
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),14+,0.0,1.5
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),15+,0.0,1.7
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),16+,0.0,1.91
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),17+,0.0,2.2
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),18+,0.0,2.57
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),19+,0.0,3.0
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),20+,0.0,3.55
Cleveland Cavaliers New York Knicks,2026-05-23,Evan Mobley,Puntos (hitos),21+,0.0,4.25
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),13+,0.0,1.42
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),14+,0.0,1.57
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),15+,0.0,1.75
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),16+,0.0,2.0
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),17+,0.0,2.3
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),18+,0.0,2.67
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),19+,0.0,3.1
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),20+,0.0,3.65
Cleveland Cavaliers New York Knicks,2026-05-23,OG Anunoby,Puntos (hitos),21+,0.0,4.35
