partido,fecha,jugador,mercado,linea,handicap,cuota
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),25+,0.0,1.33
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),26+,0.0,1.42
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),27+,0.0,1.53
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),28+,0.0,1.67
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),29+,0.0,1.82
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),30+,0.0,2.0
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),31+,0.0,2.2
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),32+,0.0,2.45
New York Knicks Cleveland Cavaliers,2026-05-19,Jalen Brunson,Puntos (hitos),33+,0.0,2.75
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),24+,0.0,1.42
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),25+,0.0,1.53
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),26+,0.0,1.67
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),27+,0.0,1.75
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),28+,0.0,1.93
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),29+,0.0,2.12
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),30+,0.0,2.35
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),31+,0.0,2.65
New York Knicks Cleveland Cavaliers,2026-05-19,Donovan Mitchell,Puntos (hitos),32+,0.0,2.95
New York Knicks Cleveland Cavaliers,2026-05-19,James Harden,Puntos (hitos),17+,0.0,1.45
New York Knicks Cleveland Cavaliers,2026-05-19,James Harden,Puntos (hitos),18+,0.0,1.57
