partido,jugador,mercado,linea,handicap,cuota
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),27+,0.0,1.4
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),28+,0.0,1.52
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),29+,0.0,1.65
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),30+,0.0,1.8
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),31+,0.0,2.0
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),32+,0.0,2.22
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),33+,0.0,2.47
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),34+,0.0,2.8
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos (hitos),35+,0.0,3.15
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),21+,0.0,1.32
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),22+,0.0,1.42
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),23+,0.0,1.55
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),24+,0.0,1.7
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),25+,0.0,1.87
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),26+,0.0,2.05
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),27+,0.0,2.27
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),28+,0.0,2.55
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos (hitos),29+,0.0,2.82
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),20+,0.0,1.36
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),21+,0.0,1.47
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),22+,0.0,1.6
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),23+,0.0,1.78
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),24+,0.0,1.98
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),25+,0.0,2.22
