partido,fecha,jugador,mercado,linea,handicap,cuota
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),25+,0.0,1.45
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),26+,0.0,1.57
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),27+,0.0,1.72
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),28+,0.0,1.9
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),29+,0.0,2.1
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),30+,0.0,2.35
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),31+,0.0,2.65
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),32+,0.0,3.0
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Victor Wembanyama,Puntos (hitos),33+,0.0,3.4
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),25+,0.0,1.5
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),26+,0.0,1.62
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),27+,0.0,1.78
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),28+,0.0,1.98
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),29+,0.0,2.18
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),30+,0.0,2.45
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),31+,0.0,2.77
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),32+,0.0,3.15
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Anthony Edwards,Puntos (hitos),33+,0.0,3.6
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),16+,0.0,1.45
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),17+,0.0,1.6
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),18+,0.0,1.78
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),19+,0.0,2.02
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),20+,0.0,2.3
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),21+,0.0,2.65
San Antonio Spurs Minnesota Timberwolves,2026-05-12,Stephon Castle,Puntos (hitos),22+,0.0,3.1
