gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,202331,Paul,George,P. George,paul-george,F,,8,42:57,3.75,2.92,1,8,9,76,0,1,56,4,2,6,0.333,5,12,0.417,0.389,2,5,0.4
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1626162,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,F,,9,39:49,4.03,2.92,2,6,8,54,0,0,39,2,3,5,0.6,3,7,0.429,0.5,5,7,0.714
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,203083,Andre,Drummond,A. Drummond,andre-drummond,C,,1,14:40,4.04,1.04,4,8,12,15,0,0,11,1,2,2,1.0,0,0,0.0,1.0,4,6,0.667
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1642845,VJ,Edgecombe,V. Edgecombe,vj-edgecombe,G,,77,39:54,4.16,3.01,5,4,9,66,1,1,44,3,1,4,0.25,5,9,0.556,0.462,1,1,1.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1630178,Tyrese,Maxey,T. Maxey,tyrese-maxey,G,,0,46:48,4.04,3.42,1,6,7,110,3,1,75,6,5,9,0.556,4,14,0.286,0.391,2,3,0.667
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1641737,Adem,Bona,A. Bona,adem-bona,,,30,16:23,4.32,1.27,7,5,12,20,0,1,16,1,0,0,0.0,0,0,0.0,0.0,2,4,0.5
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1629656,Quentin,Grimes,Q. Grimes,quentin-grimes,,,5,23:50,4.16,1.82,2,4,5,33,0,0,24,3,0,1,0.0,1,3,0.333,0.25,2,2,1.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1631230,Dominick,Barlow,D. Barlow,dominick-barlow,,,25,15:39,4.61,1.29,0,4,4,16,1,1,11,0,3,3,1.0,0,0,0.0,1.0,1,1,1.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1641780,Johni,Broome,J. Broome,johni-broome,,DNP - Coach's Decision,22,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1642348,Justin,Edwards,J. Edwards,justin-edwards,,DNP - Coach's Decision,11,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,200768,Kyle,Lowry,K. Lowry,kyle-lowry,,DNP - Coach's Decision,7,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1631207,Dalen,Terry,D. Terry,dalen-terry,,DNP - Coach's Decision,14,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1631133,Jabari,Walker,J. Walker,jabari-walker,,DNP - Coach's Decision,33,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612755,Philadelphia,76ers,PHI,sixers,1630570,Trendon,Watford,T. Watford,trendon-watford,,DNP - Coach's Decision,12,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1628384,OG,Anunoby,O. Anunoby,og-anunoby,F,,8,37:25,4.02,2.72,2,7,9,43,0,0,24,2,4,6,0.667,5,11,0.455,0.529,3,4,0.75
0042500212,1610612752,New York,Knicks,NYK,knicks,1628404,Josh,Hart,J. Hart,josh-hart,F,,3,43:39,4.01,3.16,2,10,11,66,0,1,54,6,1,1,1.0,1,5,0.2,0.333,1,2,0.5
0042500212,1610612752,New York,Knicks,NYK,knicks,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,32,27:24,3.8,1.85,3,10,12,52,0,0,34,7,2,3,0.667,4,5,0.8,0.75,1,2,0.5
0042500212,1610612752,New York,Knicks,NYK,knicks,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,G,,25,37:45,4.4,3.02,3,7,10,58,0,0,41,2,3,6,0.5,6,7,0.857,0.692,4,4,1.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1628973,Jalen,Brunson,J. Brunson,jalen-brunson,G,,11,40:48,4.14,3.07,1,4,5,90,0,2,59,6,3,7,0.429,6,14,0.429,0.429,1,2,0.5
0042500212,1610612752,New York,Knicks,NYK,knicks,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,,,00,8:18,5.02,0.75,3,2,5,19,0,0,13,0,0,1,0.0,2,3,0.667,0.5,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1630540,Miles,McBride,M. McBride,miles-mcbride,,,2,21:28,4.18,1.61,2,1,3,20,0,0,13,1,1,2,0.5,0,3,0.0,0.2,2,3,0.667
0042500212,1610612752,New York,Knicks,NYK,knicks,1630574,Ariel,Hukporti,A. Hukporti,ariel-hukporti,,,55,6:53,5.05,0.62,5,4,8,11,0,0,8,0,1,3,0.333,0,0,0.0,0.333,1,2,0.5
0042500212,1610612752,New York,Knicks,NYK,knicks,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,,,20,0:55,4.22,0.08,1,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1630631,Jose,Alvarado,J. Alvarado,jose-alvarado,,,5,7:04,4.47,0.55,1,1,2,13,0,0,9,1,0,1,0.0,1,1,1.0,0.5,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,44,8:21,4.01,0.65,0,0,0,3,0,0,3,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1642359,Pacôme,Dadiet,P. Dadiet,pacôme-dadiet,,DNP - Coach's Decision,4,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1642885,Mohamed,Diawara,M. Diawara,mohamed-diawara,,DNP - Coach's Decision,51,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500212,1610612752,New York,Knicks,NYK,knicks,1642278,Tyler,Kolek,T. Kolek,tyler-kolek,,DNP - Coach's Decision,13,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
