gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1629627,Zion,Williamson,Z. Williamson,zion-williamson,F,,1,31:26,4.47,2.47,4,8,12,66,0,2,41,6,6,11,0.545,4,4,1.0,0.667,0,0,0.0
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1631255,Karlo,Matković,K. Matković,karlo-matković,F,,17,13:28,4.39,1.07,2,5,7,18,0,0,14,1,1,2,0.5,0,1,0.0,0.333,3,5,0.6
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1642852,Derik,Queen,D. Queen,derik-queen,C,,22,18:38,4.24,1.39,4,12,15,39,0,3,26,2,1,3,0.333,2,6,0.333,0.333,3,5,0.6
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1629673,Jordan,Poole,J. Poole,jordan-poole,G,,3,38:33,4.22,2.86,1,1,2,78,2,1,53,3,1,4,0.25,6,14,0.429,0.389,1,2,0.5
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1642847,Jeremiah,Fears,J. Fears,jeremiah-fears,G,,0,26:36,4.56,2.19,3,8,11,63,0,0,42,3,0,3,0.0,3,8,0.375,0.273,0,0,0.0
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1631121,Bryce,McGowens,B. McGowens,bryce-mcgowens,,,11,36:50,4.6,2.99,3,5,7,56,0,0,38,3,4,5,0.8,4,10,0.4,0.533,3,5,0.6
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1642274,Yves,Missi,Y. Missi,yves-missi,,,21,24:25,3.93,1.72,3,7,10,18,0,0,15,2,0,0,0.0,1,1,1.0,1.0,0,2,0.0
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1642877,Micah,Peavy,M. Peavy,micah-peavy,,,14,29:29,4.65,2.45,5,4,9,34,0,0,22,6,1,4,0.25,4,8,0.5,0.417,2,2,1.0
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1641722,Jordan,Hawkins,J. Hawkins,jordan-hawkins,,,24,15:38,4.63,1.31,0,3,3,16,0,0,12,0,0,1,0.0,0,1,0.0,0.0,2,4,0.5
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1626172,Kevon,Looney,K. Looney,kevon-looney,,,55,4:57,4.32,0.38,0,3,3,9,0,0,8,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,1641725,Trey,Alexander,T. Alexander,trey-alexander,,DNP - Coach's Decision,23,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022500519,1610612740,New Orleans,Pelicans,NOP,pelicans,201599,DeAndre,Jordan,D. Jordan,deandre-jordan,,DNP - Coach's Decision,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022500519,1610612737,Atlanta,Hawks,ATL,hawks,1642258,Zaccharie,Risacher,Z. Risacher,zaccharie-risacher,F,,10,33:37,4.65,2.75,6,9,15,46,0,0,28,0,1,2,0.5,7,11,0.636,0.615,1,2,0.5
