gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1629731,Dean,Wade,D. Wade,dean-wade,F,,32,27:46,4.57,2.27,2,6,8,21,0,1,18,1,1,1,1.0,1,2,0.5,0.667,3,3,1.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1630596,Evan,Mobley,E. Mobley,evan-mobley,F,,4,34:46,4.19,2.61,8,16,23,63,0,0,49,5,4,6,0.667,2,5,0.4,0.545,4,9,0.444
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1628386,Jarrett,Allen,J. Allen,jarrett-allen,C,,31,18:22,3.8,1.25,4,5,9,24,0,0,15,1,1,3,0.333,0,1,0.0,0.25,0,4,0.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,G,,45,35:18,3.97,2.53,2,6,8,57,0,1,32,2,1,5,0.2,8,14,0.571,0.474,2,3,0.667
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,201935,James,Harden,J. Harden,james-harden,G,,1,35:00,3.54,2.22,6,6,10,86,0,1,55,7,5,8,0.625,1,7,0.143,0.4,1,2,0.5
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1630241,Sam,Merrill,S. Merrill,sam-merrill,,,5,6:41,4.75,0.57,1,2,3,8,0,0,7,1,0,0,0.0,0,0,0.0,0.0,1,1,1.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1629622,Max,Strus,M. Strus,max-strus,,,2,27:39,4.56,2.27,4,7,11,49,0,0,35,2,4,6,0.667,3,7,0.429,0.538,0,1,0.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203471,Dennis,Schröder,D. Schröder,dennis-schröder,,,8,16:12,4.5,1.32,2,3,5,35,0,0,25,3,1,3,0.333,2,3,0.667,0.5,0,0,0.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1628418,Thomas,Bryant,T. Bryant,thomas-bryant,,,3,9:46,3.81,0.67,3,4,7,13,0,0,7,0,0,1,0.0,1,3,0.333,0.25,2,3,0.667
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1642281,Jaylon,Tyson,J. Tyson,jaylon-tyson,,,20,17:35,4.17,1.3,0,5,5,16,0,0,14,1,0,1,0.0,0,0,0.0,0.0,3,3,1.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1631165,Keon,Ellis,K. Ellis,keon-ellis,,,14,10:55,4.53,0.87,1,3,4,9,0,0,5,0,0,2,0.0,1,2,0.5,0.25,1,2,0.5
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1626204,Larry,Nance Jr.,L. Nance Jr.,larry-nance-jr,,DNP - Coach's Decision,22,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1641854,Craig,Porter Jr.,C. Porter Jr.,craig-porter-jr,,DNP - Coach's Decision,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1642878,Tyrese,Proctor,T. Proctor,tyrese-proctor,,DNP - Coach's Decision,24,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1641772,Nae'Qwan,Tomlin,N. Tomlin,naeqwan-tomlin,,DNP - Coach's Decision,35,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0042500201,1610612765,Detroit,Pistons,DET,pistons,1641709,Ausar,Thompson,A. Thompson,ausar-thompson,F,,9,32:45,4.25,2.49,7,9,16,58,2,0,47,5,3,4,0.75,1,2,0.5,0.667,0,1,0.0
0042500201,1610612765,Detroit,Pistons,DET,pistons,202699,Tobias,Harris,T. Harris,tobias-harris,F,,12,38:45,4.17,2.9,1,9,10,57,0,1,36,1,3,7,0.429,3,7,0.429,0.429,0,0,0.0
0042500201,1610612765,Detroit,Pistons,DET,pistons,1631105,Jalen,Duren,J. Duren,jalen-duren,C,,0,35:13,4.02,2.55,16,16,31,55,0,0,38,4,2,8,0.25,2,3,0.667,0.364,3,6,0.5
