created_at_utc,snapshot_id,book,partido,jugador,player_norm,game_norm,pred_player,player_id,team,pred_game,pred_game_norm,game_match,team_game_match,mercado_raw,linea_raw,stat_key,side,threshold,model_line,odds_decimal,pred_mean,pred_std,prob_model,prob_implied,edge_prob,ev,ev_pct,row_uid,pick_uid,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hit_rate,keep_reason
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Devin Vassell,devin vassell,minnesota timberwolves san antonio spurs,Devin Vassell,1630170,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),10+,PTS,over,10,9.5,1.37,13.5268,4.8341,0.797575,0.729927,0.067648,0.092678,9.27,984f7af2d9b01d25654b9ff7034112edf2296dcb,984f7af2d9b01d25654b9ff7034112edf2296dcb|13.5268|4.8341,5,5,10,10,1.000000,1.000000,5/5 | 10/10,HR_5_5
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Devin Vassell,devin vassell,minnesota timberwolves san antonio spurs,Devin Vassell,1630170,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Asistencias (hitos),2+,AST,over,2,1.5,1.34,2.63014,1.4546,0.781403,0.746269,0.035134,0.047080,4.71,859b5cfd87273f8a36240d26ec16bc43fff50b26,859b5cfd87273f8a36240d26ec16bc43fff50b26|2.6301|1.4546,5,5,10,10,1.000000,1.000000,5/5 | 10/10,HR_5_5
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Naz Reid,naz reid,minnesota timberwolves san antonio spurs,Naz Reid,1629675,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),11+,PTS,over,11,10.5,1.44,13.5418,4.8341,0.735402,0.694444,0.040958,0.058979,5.90,cd055fd13764e509d8e1dbd98b623916e84b8a84,cd055fd13764e509d8e1dbd98b623916e84b8a84|13.5418|4.8341,5,5,9,10,1.000000,0.900000,5/5 | 9/10,HR_5_5
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Devin Vassell,devin vassell,minnesota timberwolves san antonio spurs,Devin Vassell,1630170,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),17+,PRA,over,17,16.5,1.44,20.2772,6.1893,0.729159,0.694444,0.034715,0.049989,5.00,c9d0ae0cf081eb82abe13b048d6840fdf03f4e65,c9d0ae0cf081eb82abe13b048d6840fdf03f4e65|20.2772|6.1893,5,5,9,10,1.000000,0.900000,5/5 | 9/10,HR_5_5
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Daniss Jenkins,daniss jenkins,cleveland cavaliers detroit pistons,Daniss Jenkins,1642450,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Asistencias (hitos),3+,AST,over,3,2.5,1.57,3.48229,1.4546,0.750257,0.636943,0.113314,0.177903,17.79,b54c5af660fc9f9217717d1685eb93c2ab3651af,b54c5af660fc9f9217717d1685eb93c2ab3651af|3.4823|1.4546,5,5,7,10,1.000000,0.700000,5/5 | 7/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Julian Champagnie,julian champagnie,minnesota timberwolves san antonio spurs,Julian Champagnie,1630577,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Triples (hitos),2+,3PM,over,2,1.5,1.5,2.28681,0.9642,0.792757,0.666667,0.126090,0.189136,18.91,02326cdc2234892a8616ff8065d9de5209dce3ce,02326cdc2234892a8616ff8065d9de5209dce3ce|2.2868|0.9642,4,5,9,10,0.800000,0.900000,4/5 | 9/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,De'Aaron Fox,de aaron fox,minnesota timberwolves san antonio spurs,De'Aaron Fox,1628368,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),16+,PTS,over,16,15.5,1.52,18.492,4.8341,0.732022,0.657895,0.074127,0.112674,11.27,5729fc87d09667719147e21656f1a06db367f887,5729fc87d09667719147e21656f1a06db367f887|18.4920|4.8341,4,5,9,10,0.800000,0.900000,4/5 | 9/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Dean Wade,dean wade,cleveland cavaliers detroit pistons,Dean Wade,1629731,CLE,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Rebotes (hitos),3+,REB,over,3,2.5,1.36,4.25812,1.9667,0.814324,0.735294,0.079030,0.107481,10.75,242e4cd40e5e5717def55896dcb13f2c7a47155f,242e4cd40e5e5717def55896dcb13f2c7a47155f|4.2581|1.9667,4,5,9,10,0.800000,0.900000,4/5 | 9/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Keldon Johnson,keldon johnson,minnesota timberwolves san antonio spurs,Keldon Johnson,1629640,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Asistencias (hitos),1+,AST,over,1,0.5,1.47,1.44785,1.4546,0.742678,0.680272,0.062405,0.091736,9.17,4236a468f3a93c77206285e2b8b3b009977797a9,4236a468f3a93c77206285e2b8b3b009977797a9|1.4478|1.4546,4,5,9,10,0.800000,0.900000,4/5 | 9/10,HR_4_5_CONF
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Evan Mobley,evan mobley,cleveland cavaliers detroit pistons,Evan Mobley,1630596,CLE,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,RA (hitos),10+,RA,over,10,9.5,1.21,12.6176,2.6976,0.876095,0.826446,0.049648,0.060074,6.01,503562daf66a0655a167c400f695e56d23f879c0,503562daf66a0655a167c400f695e56d23f879c0|12.6176|2.6976,4,5,9,10,0.800000,0.900000,4/5 | 9/10,HR_4_5_CONF
